Relative_Time(s),Ard_Micros,CH1(V),CH2(V),CH3(V),CH4(V),CH5(V),CH6(V)
23.913659,89117703,1.24898568,1.87200151,1.61051173,1.37771742,1.87564693,1.12688197
23.919859,89123903,1.24813810,1.87160455,1.60923619,1.37726264,1.87405430,1.12622811
23.927003,89131047,1.24719933,1.86970912,1.60811324,1.37591378,1.87265538,1.12564637
23.930125,89134169,1.24640480,1.86876319,1.60583932,1.37436466,1.87049828,1.12482204
23.938260,89142304,1.24524787,1.86677895,1.60506685,1.37356238,1.86947666,1.12381352
23.945421,89149465,1.24370769,1.86463974,1.60312076,1.37198822,1.86704539,1.12306966
23.948444,89152488,1.24316886,1.86346434,1.60224159,1.37004094,1.86410688,1.12216069
23.956338,89160382,1.24155238,1.86079584,1.59999866,1.36914568,1.86269782,1.12124933
23.959366,89163410,1.24056831,1.85827635,1.59768958,1.36680917,1.85978316,1.12007572
23.966442,89170486,1.23876944,1.85666345,1.59663756,1.36600689,1.85805045,1.11878647
23.973509,89177553,1.23697355,1.85416601,1.59364600,1.36352794,1.85480796,1.11813737
23.976619,89180663,1.23608306,1.85238085,1.59252126,1.36087911,1.85080670,1.11608697
23.984729,89188773,1.23355642,1.84903405,1.58924420,1.35950880,1.84887670,1.11515237
23.987823,89191867,1.23138740,1.84549592,1.58593316,1.35703401,1.84488795,1.11357941
23.994924,89198968,1.23004511,1.84398554,1.58483047,1.35589556,1.84146605,1.11190571
24.001925,89205969,1.22804001,1.84051297,1.58159752,1.35289030,1.83963678,1.11093177
24.004948,89208992,1.22694149,1.83855973,1.57808680,1.34955840,1.83503352,1.10876275
24.012850,89216894,1.22406318,1.83417163,1.57641668,1.34845631,1.83303020,1.10769821
24.015873,89219917,1.22215584,1.83107338,1.57393832,1.34571151,1.82990632,1.10590888
24.021990,89226034,1.22112646,1.82966910,1.57225866,1.34423868,1.82473860,1.10371662
24.030094,89234138,1.21788814,1.82470820,1.56783540,1.34033338,1.82238124,1.10256685
24.033225,89237269,1.21665373,1.82083926,1.56443853,1.33721248,1.81802891,1.10017074
24.040372,89244416,1.21406212,1.81855819,1.56266470,1.33129195,1.82047627,1.09925820
24.048359,89252403,1.20881989,1.81842051,1.55867118,1.33193151,1.80825791,1.09404041
24.051689,89255733,1.17319479,1.80786929,1.56055052,1.36562423,1.81411705,1.09610571
24.057320,89261364,1.20716705,1.80888198,1.55391592,1.32807986,1.80542491,1.09248651
24.064531,89268575,1.20433166,1.80495939,1.55012984,1.32471160,1.80073342,1.09123362
24.067634,89271678,1.20314314,1.80264614,1.54835243,1.32098094,1.79580233,1.08858658
24.075751,89279795,1.19996204,1.79787419,1.54438395,1.31956891,1.79393730,1.08762873
24.078824,89282868,1.19744196,1.79390452,1.54034573,1.31617264,1.78937695,1.08531726
24.085923,89289967,1.19588628,1.79192922,1.53859574,1.31012694,1.78276143,1.08756317
24.090483,89294527,1.19474246,1.78947291,1.53385538,1.31441132,1.78402982,1.08252419
24.093742,89297786,1.19166388,1.78511700,1.53281290,1.30932943,1.78024313,1.08011795
24.100921,89304965,1.18984475,1.78327284,1.53097171,1.30768494,1.77641890,1.07793046
24.108001,89312045,1.18748023,1.77894375,1.52785677,1.30459265,1.77423141,1.07671214
24.111090,89315134,1.18603244,1.77711687,1.52329642,1.30072788,1.76888010,1.07389344
24.119234,89323278,1.18290796,1.77240750,1.52172166,1.29927949,1.76667890,1.07161952
24.126419,89330463,1.17997064,1.76808140,1.51820082,1.29583791,1.76227173,1.07031597
24.129450,89333494,1.17883517,1.76614604,1.51614267,1.28935412,1.76580510,1.06845332
24.136711,89340755,1.17637350,1.75838611,1.51281136,1.29127101,1.75602517,1.06679035
24.139880,89343924,1.17329433,1.75828001,1.50885123,1.28797785,1.75150535,1.06458379
24.146945,89350989,1.13286628,1.75625762,1.50752205,1.28645316,1.74873492,1.06254710
24.152995,89357039,1.16991236,1.75279698,1.50456506,1.28345028,1.74651644,1.06145752
24.156098,89360142,1.16856589,1.75103685,1.50075454,1.28014937,1.74196502,1.05870081
24.164194,89368238,1.16532697,1.74662372,1.49893361,1.27871111,1.74005291,1.05672491
24.171379,89375423,1.16296484,1.74275598,1.49579424,1.27533451,1.73596760,1.05531049
24.174407,89378451,1.16192057,1.74130878,1.49433452,1.27135888,1.74057326,1.05458749
24.179685,89383729,1.16028203,1.73417589,1.49547654,1.26922503,1.73446557,1.05332149
24.182970,89387014,1.15753545,1.73526785,1.48863095,1.26902059,1.72756454,1.05083776
24.189962,89394006,1.15649237,1.73379084,1.48746389,1.26787797,1.72074338,1.04721797
24.197230,89401274,1.15281059,1.72915718,1.48318010,1.26478747,1.72183713,1.04779614
24.200328,89404372,1.15288212,1.72627648,1.48085314,1.26186326,1.71854695,1.04556156
24.208324,89412368,1.15040078,1.72442278,1.47918719,1.26048640,1.71682199,1.04343248
24.215408,89419452,1.14807977,1.72106942,1.47636193,1.25771776,1.71351453,1.04255152
24.218434,89422478,1.14715769,1.72011515,1.47514063,1.25328139,1.71786448,1.04144288
24.224703,89428747,1.14557220,1.71311757,1.47676605,1.25124350,1.71227833,1.04039622
24.227966,89432010,1.14308550,1.71403548,1.46953958,1.25198260,1.70544823,1.03803826
24.234964,89439008,1.14223136,1.71234032,1.46902102,1.25065699,1.70274338,1.03643728
24.242018,89446062,1.14034189,1.70965871,1.46591264,1.24842182,1.70127352,1.03554321
24.245116,89449160,1.13902702,1.70835217,1.46348315,1.24595538,1.69815918,1.03369129
24.252319,89456363,1.13718762,1.70572778,1.46237510,1.24482587,1.69718047,1.03202653
24.260328,89464372,1.13524450,1.70267304,1.45956474,1.24282494,1.69391354,1.03133989
24.263346,89467390,1.13418831,1.70177301,1.45858901,1.23941734,1.69894000,1.03047562
24.269683,89473727,1.09424664,1.69567307,1.45752626,1.23769894,1.69169863,1.02923465
24.272915,89476959,1.13123073,1.69767042,1.45451801,1.23820379,1.68824276,1.02789474
24.279957,89484001,1.13055302,1.69640859,1.45388978,1.23728469,1.68640753,1.02666331
24.287017,89491061,1.12926020,1.69457694,1.45220833,1.23547211,1.68504497,1.02597726
24.290129,89494173,1.12837090,1.69350585,1.44988077,1.23337582,1.68248256,1.02455867
24.298254,89502298,1.12674488,1.69135173,1.44883471,1.23269751,1.68193241,1.02324200
24.305403,89509447,1.12540378,1.68929418,1.44706088,1.23089686,1.64073368,1.02256131
24.308435,89512479,1.12472071,1.68828090,1.44620853,1.22721210,1.68530067,1.02219415
24.314683,89518727,1.12371458,1.68248077,1.40810745,1.22597888,1.67839368,1.02065695
24.317937,89521981,1.12209691,1.68527206,1.44268113,1.22727647,1.67487045,1.02001560
24.324948,89528992,1.12142815,1.68410858,1.44220310,1.22648909,1.67317112,1.01880980
24.332004,89536048,1.12025572,1.68221017,1.44041675,1.22488454,1.67224308,1.01814938
24.335116,89539160,1.11932827,1.68118378,1.43829005,1.22310057,1.67010566,1.01675165
24.343256,89547300,1.11781253,1.67929967,1.43725889,1.22215405,1.66899999,1.01577652
24.350416,89554460,1.11654116,1.67704245,1.43557864,1.22051671,1.66704317,1.01506186
24.353443,89557487,1.11572577,1.67654534,1.43477278,1.21876374,1.66511734,1.01373208
24.361337,89565381,1.11429764,1.67437812,1.43268364,1.21782317,1.66438003,1.01308596
24.364361,89568405,1.11346020,1.67292496,1.43107193,1.21611431,1.66199287,1.01173055
24.371432,89575476,1.11209048,1.67168220,1.43011647,1.21549323,1.66111310,1.01064873
24.378491,89582535,1.11073865,1.66991790,1.42821091,1.21398702,1.65911694,1.01011229
24.381587,89585631,1.10979272,1.66876396,1.42737525,1.21173575,1.65671666,1.00835931
24.389698,89593742,1.10818340,1.66649242,1.42515676,1.21075585,1.65569802,1.00759935
24.392808,89596852,1.10673500,1.66448255,1.42288285,1.20882764,1.65359100,1.00616527
24.399935,89603979,1.10591067,1.66326125,1.42202335,1.20813205,1.64925595,1.00087237
24.407241,89611285,1.10382272,1.66015764,1.41951697,1.20585635,1.64992769,1.00416315
24.410318,89614362,1.10341502,1.65887197,1.41773658,1.20387807,1.64774139,1.00257051
24.417457,89621501,1.10174192,1.65792902,1.41684787,1.20327725,1.64654453,1.00141597
24.424527,89628571,1.10019935,1.65582855,1.41466456,1.20124950,1.64407034,1.00049150
24.427620,89631664,1.09926535,1.65439089,1.41384142,1.19890108,1.64126416,0.99860859
24.435731,89639775,1.09756125,1.65194114,1.41145365,1.19766667,1.64023538,0.99764776
24.438804,89642848,1.09566404,1.64959748,1.40898900,1.19580760,1.63756152,0.99619102
24.445902,89649946,1.09462155,1.64822121,1.40378671,1.19828477,1.62750144,0.99579227
24.453345,89657389,1.08917786,1.65069540,1.36722939,1.19211926,1.62898560,0.99683595
24.456579,89660623,1.08951284,1.64524336,1.40030460,1.19459584,1.62899573,0.99540901
24.461077,89665121,1.09076394,1.64317985,1.40336709,1.19020238,1.62983735,0.99097979
24.467389,89671433,1.08914448,1.64080639,1.40130835,1.18807628,1.62887056,0.99016559
24.470413,89674457,1.08812762,1.63809855,1.39889853,1.18569746,1.62579377,0.98826361
24.478334,89682378,1.08609928,1.63690050,1.39783637,1.18470862,1.62490626,0.98672223
24.485395,89689439,1.08422471,1.63451155,1.39555292,1.18257715,1.62203450,0.98576081
24.488432,89692476,1.08327044,1.63322111,1.39479177,1.17800727,1.62588616,0.98421645
24.494667,89698711,1.08148826,1.63122912,1.39251606,1.17990269,1.61887307,0.98349166
24.497781,89701825,1.07965661,1.62874897,1.39001207,1.17779805,1.61589344,0.98162544
24.504940,89708984,1.07835604,1.62764807,1.38922946,1.17655768,1.61391933,0.97991776
24.511996,89716040,1.07683612,1.62504454,1.38703303,1.17450192,1.61284645,0.97907853
